tri_maleblue_ds,tri_femaleblue_ds,tri_maleblack_ds,tri_femaleblack_ds,tri_maleblue_dl,tri_femaleblue_dl,tri_maleblack_dl,tri_femaleblack_dl,tetra_maleblue_ds,tetra_femaleblue ds,tetra_maleblack_ds,tetra_femaleblack_ds,tetra_maleblue_dl,tetra_femaleblue_dl,tetra_maleblack_dl,tetra_femaleblack_dl,tri_male_contrat_ds,tri_female_contrast_ds,tri_male_contrat_dl,tri_female_contrast_dl,tetra_male_contrat_ds,tetra_female_contrast_ds,tetra_male_contrat_dl,tetra_female_contrast_dl
1.107340464,0.338253404,2.395429598,0.92393633,2.13932047,2.648836704,6.805124909,2.854218448,4.500834398,1.013683714,3.827166158,1.268829191,0.606594033,2.781748108,7.221909139,2.854218448,5.752197905,1.400517999,17.2787055,2.7926984,14.00879833,3.607199893,16.3537315,2.6669112
0.726639608,0.1683532,0.496675417,0.605644594,2.367277365,1.621696251,3.34649988,2.138104567,4.398337397,0.638570234,1.156861628,1.450133426,1.22810937,1.690040729,3.649031205,2.138104567,3.509147081,0.412954914,11.0503865,0.6256626,11.15161379,0.985368582,9.8069068,0.6826972
0.451513956,0.998404307,1.164872601,-0.039610793,3.221942174,3.978173231,3.336450331,1.178528579,3.635432544,1.43285127,1.479676246,1.659523083,2.193725626,4.065460905,3.458494908,1.178528579,2.513104762,0.207989838,12.2691893,2.1758032,10.65151752,2.047144024,10.8246415,2.4571698
0.759940879,1.296140867,1.20361073,1.226732108,2.828044698,6.852418999,3.309071116,3.205749889,3.689245663,1.243310861,1.531041259,2.912392991,1.848450201,6.754396106,3.43225953,3.205749889,2.702151829,0.697236221,11.0886334,1.9260341,10.83849105,2.340036802,9.6293549,1.7122939
1.014062654,1.806243805,0.692344283,-0.109746662,3.463368919,5.951931079,4.271529835,1.348929269,3.687649821,2.493882156,0.622375826,1.442548731,2.109593321,6.169235441,4.337759171,1.348929269,4.628768284,0.341682969,14.944673,1.7109499,11.67118157,0.933111222,15.1863429,1.7297202
1.014062654,2.009119333,0.717013582,0.654632793,3.463368919,7.488044384,4.683674828,2.071135586,3.669328461,2.791077814,0.68772438,1.895834803,2.514594733,7.689169938,4.765187107,2.071135586,4.173855706,1.121228466,16.4162626,1.6102776,11.78872142,2.841830122,15.2274972,1.7903234
0.884075509,1.495549894,0.785870551,0.758532441,3.171672258,3.656042067,4.743027107,2.491942201,3.961696207,2.449969299,0.769980499,1.187561972,2.124068211,3.952224824,4.833439741,2.491942201,4.210927258,0.365559987,16.3317773,1.8526473,11.84299565,0.846162145,15.1366873,1.8490007
0.382450827,1.445335658,0.411846091,-0.150227609,2.425979658,4.865179981,4.346215159,1.311791327,3.427665431,2.310396323,0.201578141,0.776436078,3.187078417,5.111240363,4.219370651,1.311791327,2.300824147,0.379919796,11.3521711,0.6919345,14.19054675,1.155924981,9.3351087,0.8012808
1.21903379,1.455549911,0.257097532,-0.293550841,2.912052031,4.900303691,4.552617873,1.791108827,3.987715159,2.048844697,0.040776885,-0.286948123,1.920045659,5.039608153,4.447723614,1.791108827,2.030282939,1.489474828,12.8371339,0.5284211,14.13248433,3.651663519,10.8470776,0.3427132
1.104545012,2.332558327,0.487364545,1.012910468,2.27711713,7.891288896,5.27225595,2.684325089,4.643697727,3.827983183,0.324600958,2.531489881,1.117746615,8.340256938,5.259967379,2.684325089,2.379610726,0.07994946,13.924533,2.6161501,13.41893989,1.18449707,12.0790288,2.4184279
0.58587431,0.498094845,0.377059826,0.448679152,2.537059238,3.594560802,4.980532121,2.357808121,4.362143214,1.60306277,0.189862388,1.194675402,1.379177627,3.992998026,4.96926541,2.357808121,2.2270697,1.275029712,13.2277775,1.5909124,13.394567,3.569466431,11.3888293,1.7974143
0.233885248,1.881911365,1.346393258,0.760957509,1.89876524,6.866700568,1.814083578,2.861922877,3.670105244,2.971946713,2.192561986,1.52388011,0.86933336,7.189418511,2.096910364,2.861922877,3.362240302,0.184614941,10.4782103,0.5150375,9.62322544,2.635805964,9.4040891,0.1238416
0.754632923,1.331736367,1.371527749,-0.154428745,2.289491295,5.423872276,3.956909374,1.252150134,4.211923717,1.538768903,1.996077335,2.973739846,1.203083151,5.50561659,4.131002418,1.252150134,3.547735573,1.6746938,13.8047527,4.6500695,10.36685351,4.857481967,12.5846869,4.4638565
0.267990395,1.449434012,1.589029184,0.45305961,1.04748004,6.138219339,5.647786626,2.355161991,4.875795588,1.855700326,2.007693836,2.228609753,0.016298514,6.144709863,5.693050053,2.355161991,4.13775709,0.359874354,15.7025977,1.7657078,12.87247865,4.041202405,14.085327,1.4109181
1.224275583,-0.018089607,1.614959945,0.191333603,2.844622456,1.343714413,4.981314367,2.563842487,4.181681396,0.580834022,2.145262742,0.441065679,1.803846367,1.509340138,5.088913544,2.563842487,4.316386396,0.424793503,14.153278,4.92526,12.89770655,4.490655782,12.6080808,4.2969081
0.790097382,0.936330326,,0.240444465,3.037902591,3.096595061,,2.498660205,3.545271622,0.906566083,,0.31652993,2.088462589,3.036395549,,2.498660205,,1.375011513,,3.4417921,,3.305914112,,3.2264888
1.011792342,0.068823333,,-0.14624802,2.080035558,5.410480419,,4.944465964,4.632717957,-0.19330703,,-0.068159837,0.91180146,5.394745507,,4.944465964,,2.843179218,,0.4707506,,7.998120259,,0.0154379
0.351884328,1.791226681,,1.336012385,3.245962425,4.427957186,,3.416992099,3.431245562,2.169837668,,1.427713021,2.274578482,4.405237864,,3.416992099,,0.693172703,,1.6910935,,1.681796344,,1.6749793
0.618614683,0.08576087,,1.043162988,3.123737659,4.51265185,,4.097830614,3.654686911,0.170604154,,1.52684565,2.116396644,4.612634424,,4.097830614,,0.425511597,,0.3779385,,1.546435485,,0.1900555
0.592908938,-0.07544146,,,2.257767262,5.249530422,,,4.388708879,0.124622374,,,1.095873599,5.286767786,,,,,,,,,,
0.353090273,0.485247925,,,1.598211163,4.276657455,,,3.987400348,0.53806706,,,0.520583556,4.334300077,,,,,,,,,,
0.433551344,0.021465695,,,0.937685693,1.988626858,,,4.444801488,-0.145339937,,,0.008947765,2.015708761,,,,,,,,,,
0.073771149,0.16597382,,,1.753800591,1.183304788,,,4.399912918,0.168299854,,,0.624622582,1.262214937,,,,,,,,,,
0.061844402,0.987974999,,,1.000409362,6.7720404,,,4.436256422,0.792894694,,,0.076934643,6.589378358,,,,,,,,,,
0.477119138,1.453439597,,,3.55063315,4.168233776,,,3.392454134,2.03342168,,,2.611081661,4.310320924,,,,,,,,,,
0.546459652,0.681450546,,,3.149277491,3.695560419,,,3.432515011,0.439306822,,,2.210724427,3.67011611,,,,,,,,,,
0.522425454,1.006713549,,,3.034050173,2.544905122,,,3.469066994,1.447024061,,,2.082738415,2.681142128,,,,,,,,,,
0.121694693,0.551267803,,,0.264368263,5.721541278,,,5.013791585,0.331978437,,,-0.411490276,5.502842553,,,,,,,,,,
0.117603454,0.346722161,,,0.913247956,5.066604481,,,5.03784058,0.091380537,,,-0.067787841,4.899947135,,,,,,,,,,
0.126429344,1.291933374,,,0.912770297,4.718205356,,,5.047070323,1.273062096,,,-0.068918697,4.620996055,,,,,,,,,,
0.12317473,1.982018782,,,0.743689112,4.844074206,,,5.028568617,2.541754598,,,-0.16689921,4.954620822,,,,,,,,,,
0.000795335,1.897499346,,,2.091688543,4.555737391,,,3.706714512,2.198053488,,,1.048450802,4.518768311,,,,,,,,,,
0.023397622,1.386984475,,,2.148899171,3.737945204,,,3.718562513,2.165477414,,,1.106508217,3.972814936,,,,,,,,,,
0.133478422,,,,1.713177512,,,,4.314813493,,,,0.549253372,,,,,,,,,,,
0.184416959,,,,1.354994291,,,,4.383615079,,,,0.282775484,,,,,,,,,,,
